id,name,direction,number,category
7338652709907595539,347,2,347,5
7338652709907595537,345,2,345,5
7338652709907595542,463,2,463,5
7338652709907595543,464,2,464,5
7338652709907595540,460,2,460,5
7338652709907595541,462,2,462,5
7338652709907596053,109X,2,769,5
7338652709907595530,336,2,336,5
7338652709907595528,332,2,332,5
7338652709907596040,213,2,213,5
7338652709907595529,333,2,333,5
7338652709907595535,343,2,343,5
7338652709907595532,338,2,338,5
7338652709907595533,341,2,341,5
7338652709907595522,314,2,314,5
7338652709907596034,304A,2,7222,5
7338652709907595523,320,2,320,5
7338652709907596035,304X,1,723,5
7338652709907596032,111X,2,771,5
7338652709907595521,313,2,313,5
7338652709907596033,A1,2,1201,5
7338652709907595526,328,2,328,5
7338652709907596038,A2,2,1202,5
7338652709907595527,329,2,329,5
7338652709907596039,121,2,121,5
7338652709907595524,321,2,321,5
7338652709907595525,323,2,323,5
7338652709907596082,51AUX,1,738,5
7338652709907596083,115C,2,708,5
7338652709907596080,X2A,2,7920,5
7338652709907596081,980,2,980,5
7338652709907596078,422,2,422,5
7338652709907596079,X5,2,5,5
7338652709907596076,420,2,420,5
7338652709907596077,421,2,421,5
7338652709907595552,480,2,480,5
7338652709907595596,216,2,216,5
7338652709907595584,977,1,977,5
7338652709907595589,937,1,937,5
7338652709907595640,495,2,495,5
7338652709907595646,360,2,360,5
7338652709907595647,362,2,362,5
7338652709907595634,487,2,487,5
7338652709907595635,489,2,489,5
7338652709907595633,483,2,483,5
7338652709907595639,494,2,494,5
7338652709907595636,490,2,490,5
7338652709907595637,491,2,491,5
7338652709907595626,470,2,470,5
7338652709907595628,175,2,175,5
7338652709907595622,162,2,162,5
7338652709907595666,602,2,602,5
7338652709907595667,605,2,605,5
7338652709907595665,601,2,601,5
7338652709907595658,378,2,378,5
7338652709907595659,379,2,379,5
7338652709907595656,375,2,375,5
7338652709907595657,377,2,377,5
7338652709907595662,383,2,383,5
7338652709907595663,385,1,385,5
7338652709907595660,380,2,380,5
7338652709907595661,381,2,381,5
7338652709907595649,365,2,365,5
7338652709907595654,372,2,372,5
7338652709907595655,374,2,374,5
7338652709907595652,370,2,370,5
7338652709907595653,371,2,371,5
7338652709907595706,215,2,215,5
7338652709907595705,X4,2,746,5
7338652709907595711,425A,2,750,5
7338652709907595709,X12,2,749,5
7338652709907595699,235,2,235,5
7338652709907595696,373,2,373,5
7338652709907595702,405,2,405,5
7338652709907595700,187,2,187,5
7338652709907595701,X2,2,745,5
7338652709907595690,471,2,471,5
7338652709907595688,257,2,257,5
7338652709907595695,243,2,243,5
7338652709907595731,226A,2,751,5
7338652709907595712,603,2,603,5
7338652709907595713,604,2,604,5
7338652709907595762,115A,2,709,5
7338652709907595765,366,2,366,5
7338652709907595744,209A,2,720,5
7338652709907596091,223X,2,774,5
